Donors Returns - 2014-15,
 data exported: 01/Feb/2017 12:02,
DonorClientNm,DonorAddressLine1,DonorSuburb,DonorStateAb,DonorPostcode,RecipientClientNm,DonationDt,AmountPaid,
"AMP Services Ltd","PO Box 3409","MANUKA","ACT","2603","Liberal Party of Australia","02/02/2015 12:00:00 AM","1650.0000",
"AMP Services Ltd","PO Box 3409","MANUKA","ACT","2603","Australian Labor Party (ALP)","20/04/2015 12:00:00 AM","550.0000",
"AMP Services Ltd","PO Box 3409","MANUKA","ACT","2603","Liberal Party of Australia","30/04/2015 12:00:00 AM","250.0000",
"ANZ Banking Group Limited","Level 10, 833 Collins Street Docklands","MELBOURNE","VIC","3008","Liberal Party of Australia","16/09/2014 12:00:00 AM","100000.0000",
"ANZ Banking Group Limited","Level 10, 833 Collins Street Docklands","MELBOURNE","VIC","3008","Australian Labor Party (ALP)","16/09/2014 12:00:00 AM","80000.0000",
"Arnold Bloch Leibler","Level 21, 333 Collins Street","MELBOURNE","VIC","3000","Liberal Party of Australia (Victorian Division)","26/05/2015 12:00:00 AM","20000.0000",
"Arnold Bloch Leibler","Level 21, 333 Collins Street","MELBOURNE","VIC","3000","Liberal Party of Australia (Victorian Division)","22/06/2015 12:00:00 AM","20000.0000",
"Arnold Bloch Leibler","Level 21, 333 Collins Street","MELBOURNE","VIC","3000","Liberal Party of Australia (Victorian Division)","10/02/2015 12:00:00 AM","12500.0000",
"Arnold Bloch Leibler","Level 21, 333 Collins Street","MELBOURNE","VIC","3000","Liberal Party of Australia (Victorian Division)","08/07/2014 12:00:00 AM","10000.0000",
"Arnold Bloch Leibler","Level 21, 333 Collins Street","MELBOURNE","VIC","3000","Liberal Party of Australia","25/05/2015 12:00:00 AM","10000.0000",
"Arnold Bloch Leibler","Level 21, 333 Collins Street","MELBOURNE","VIC","3000","Liberal Party of Australia (Victorian Division)","30/03/2015 12:00:00 AM","2500.0000",
"Arnold Bloch Leibler","Level 21, 333 Collins Street","MELBOURNE","VIC","3000","Australian Labor Party (ALP)","08/04/2015 12:00:00 AM","1100.0000",
"Arnold Bloch Leibler","Level 21, 333 Collins Street","MELBOURNE","VIC","3000","Australian Labor Party (ALP)","30/06/2015 12:00:00 AM","1100.0000",
"Asciano Services Pty Ltd","Level 6, 15 Blue Street","NORTH SYDNEY","NSW","2060","Australian Labor Party (ALP)","08/01/2015 12:00:00 AM","44000.0000",
"Asciano Services Pty Ltd","Level 6, 15 Blue Street","NORTH SYDNEY","NSW","2060","Australian Labor Party (ALP)","03/12/2014 12:00:00 AM","20000.0000",
"Asciano Services Pty Ltd","Level 6, 15 Blue Street","NORTH SYDNEY","NSW","2060","Liberal Party of Australia, NSW Division","23/07/2014 12:00:00 AM","7500.0000",
"Asciano Services Pty Ltd","Level 6, 15 Blue Street","NORTH SYDNEY","NSW","2060","Liberal Party of Australia, NSW Division","11/12/2014 12:00:00 AM","5500.0000",
"Asciano Services Pty Ltd","Level 6, 15 Blue Street","NORTH SYDNEY","NSW","2060","Liberal Party of Australia, NSW Division","11/03/2015 12:00:00 AM","5500.0000",
"Asciano Services Pty Ltd","Level 6, 15 Blue Street","NORTH SYDNEY","NSW","2060","Liberal Party of Australia, NSW Division","10/02/2015 12:00:00 AM","3050.0000",
"Asciano Services Pty Ltd","Level 6, 15 Blue Street","NORTH SYDNEY","NSW","2060","Liberal Party of Australia, NSW Division","26/08/2014 12:00:00 AM","2750.0000",
"Asciano Services Pty Ltd","Level 6, 15 Blue Street","NORTH SYDNEY","NSW","2060","Liberal Party of Australia, NSW Division","26/11/2014 12:00:00 AM","2750.0000",
"Asciano Services Pty Ltd","Level 6, 15 Blue Street","NORTH SYDNEY","NSW","2060","Liberal Party of Australia, NSW Division","25/02/2015 12:00:00 AM","2750.0000",
"Asciano Services Pty Ltd","Level 6, 15 Blue Street","NORTH SYDNEY","NSW","2060","Liberal Party of Australia, NSW Division","01/06/2015 12:00:00 AM","2750.0000",
"Asciano Services Pty Ltd","Level 6, 15 Blue Street","NORTH SYDNEY","NSW","2060","Liberal Party of Australia, NSW Division","24/04/2015 12:00:00 AM","1808.0000",
"Asciano Services Pty Ltd","Level 6, 15 Blue Street","NORTH SYDNEY","NSW","2060","Liberal Party of Australia, NSW Division","05/12/2014 12:00:00 AM","1100.0000",
"Asciano Services Pty Ltd","Level 6, 15 Blue Street","NORTH SYDNEY","NSW","2060","Liberal Party of Australia, NSW Division","10/02/2015 12:00:00 AM","850.0000",
"Asciano Services Pty Ltd","Level 6, 15 Blue Street","NORTH SYDNEY","NSW","2060","Liberal Party of Australia, NSW Division","25/09/2014 12:00:00 AM","405.0000",
"Asciano Services Pty Ltd","Level 6, 15 Blue Street","NORTH SYDNEY","NSW","2060","Liberal Party of Australia, NSW Division","17/07/2014 12:00:00 AM","350.0000",
